A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
37;115;115;37;(37, 115);130;79
37;78;78;37;(37, 78);129;78
37;4;37;4;(37, 4);131;78
37;189;189;37;(37, 189);131;81
37;199;199;37;(37, 199);129;81
37;25;37;25;(37, 25);129;79
37;51;51;37;(37, 51);133;77
37;294;294;37;(37, 294);131;81
37;298;298;37;(37, 298);131;79
37;146;146;37;(37, 146);130;76
37;59;59;37;(37, 59);131;79
37;30;37;30;(37, 30);130;81
37;159;159;37;(37, 159);131;79
37;23;37;23;(37, 23);134;81
37;26;37;26;(37, 26);129;78
37;72;72;37;(37, 72);130;80
37;155;155;37;(37, 155);132;80
37;18;37;18;(37, 18);129;79
37;88;88;37;(37, 88);134;79
37;194;194;37;(37, 194);130;78
37;180;180;37;(37, 180);129;79
37;293;293;37;(37, 293);130;79
37;173;173;37;(37, 173);131;81
143;144;144;143;(143, 144);119;78
143;5;143;5;(143, 5);130;77
143;133;143;133;(143, 133);117;76
143;49;143;49;(143, 49);123;78
143;292;292;143;(143, 292);121;78
143;171;171;143;(143, 171);118;78
143;52;143;52;(143, 52);136;77
143;296;296;143;(143, 296);118;78
143;80;143;80;(143, 80);117;78
143;28;143;28;(143, 28);119;77
143;137;143;137;(143, 137);117;76
143;75;143;75;(143, 75);119;77
143;53;143;53;(143, 53);120;78
143;24;143;24;(143, 24);116;78
143;43;143;43;(143, 43);121;75
143;40;143;40;(143, 40);117;78
143;66;143;66;(143, 66);132;78
143;198;198;143;(143, 198);120;78
143;110;143;110;(143, 110);132;77
143;74;143;74;(143, 74);134;78
143;190;190;143;(143, 190);121;78
143;172;172;143;(143, 172);133;78
143;69;143;69;(143, 69);119;77
143;161;161;143;(143, 161);132;78
143;165;165;143;(143, 165);116;78
143;60;143;60;(143, 60);125;78
143;131;143;131;(143, 131);116;78
143;181;181;143;(143, 181);134;78
143;139;143;139;(143, 139);116;78
143;111;143;111;(143, 111);130;78
143;20;143;20;(143, 20);120;77
143;19;143;19;(143, 19);119;75
143;82;143;82;(143, 82);129;78
143;21;143;21;(143, 21);116;78
143;192;192;143;(143, 192);120;78
143;48;143;48;(143, 48);119;78
143;160;160;143;(143, 160);116;78
143;295;295;143;(143, 295);123;78
143;140;143;140;(143, 140);133;75
143;77;143;77;(143, 77);116;78
143;167;167;143;(143, 167);117;77
143;135;143;135;(143, 135);116;78
143;81;143;81;(143, 81);135;78
143;50;143;50;(143, 50);116;78
143;168;168;143;(143, 168);129;78
143;196;196;143;(143, 196);119;52
143;183;183;143;(143, 183);116;78
143;116;143;116;(143, 116);125;78
143;186;186;143;(143, 186);123;78
143;184;184;143;(143, 184);119;78
143;178;178;143;(143, 178);116;78
143;188;188;143;(143, 188);116;78
143;157;157;143;(143, 157);120;78
143;54;143;54;(143, 54);132;78
143;15;143;15;(143, 15);123;78
143;156;156;143;(143, 156);134;75
143;11;143;11;(143, 11);116;78
143;73;143;73;(143, 73);121;78
143;169;169;143;(143, 169);118;78
143;16;143;16;(143, 16);125;74
143;64;143;64;(143, 64);116;75
143;56;143;56;(143, 56);116;78
143;47;143;47;(143, 47);118;78
143;193;193;143;(143, 193);120;78
143;29;143;29;(143, 29);130;78
143;151;151;143;(143, 151);131;77
143;175;175;143;(143, 175);118;77
143;150;150;143;(143, 150);139;78
143;158;158;143;(143, 158);116;78
143;55;143;55;(143, 55);131;78
143;148;148;143;(143, 148);118;76
143;176;176;143;(143, 176);130;78
143;182;182;143;(143, 182);128;62
143;36;143;36;(143, 36);118;73
143;153;153;143;(143, 153);119;75
143;71;143;71;(143, 71);136;78
143;177;177;143;(143, 177);122;76
143;163;163;143;(143, 163);123;78
143;14;143;14;(143, 14);117;77
143;166;166;143;(143, 166);117;78
143;117;143;117;(143, 117);122;78
